epoch,train_loss,train_acc,val_loss,val_acc
1,0.6934864123238683,0.5014103589408687,0.6934830742546275,0.4939675632911392
2,0.6932928013140713,0.4971237562612684,0.6932077671908126,0.4939675632911392
3,0.6932998608424465,0.497173729545272,0.6930677272096465,0.5060324367088608
4,0.6021232804351015,0.6046497424019933,0.20519496821149996,0.9229628164556962
5,0.1356306776745932,0.950981698691972,0.11186004802584648,0.9606408227848101
6,0.0874653488600146,0.9690442874487529,0.08360096932494943,0.9722112341772152
7,0.06842244089023074,0.9762904228432092,0.0975211432698784,0.9692444620253164
8,0.05846795088835934,0.9798107675906184,0.07179701261080895,0.9774525316455697
9,0.05041884536594788,0.9832644812079635,0.07410312990976285,0.9765625
10,0.04373106306224172,0.9851856787067487,0.06852260909833108,0.9800237341772152
11,0.03866778718811998,0.9870513503485397,0.07045531354820993,0.978935917721519
12,0.0330282121694196,0.9886560501066098,0.07940333161526654,0.9767602848101266
13,0.028828611690004956,0.9896943852591362,0.07385157614569121,0.9819026898734177
14,0.02542114332526811,0.9910492181523777,0.07769262067136602,0.9805181962025317
15,0.023127081605897687,0.9921541844349681,0.08657574458519303,0.9763647151898734
16,0.01803474283868026,0.9935756485853622,0.08985970129076203,0.9805181962025317
17,0.01635572803938992,0.9945084844062577,0.10096420951871367,0.9771558544303798
18,0.015247771982972357,0.9944196428571429,0.12336099533293443,0.973496835443038
19,0.013332399449080103,0.9954357675906184,0.09486944924471193,0.9788370253164557
20,0.010484930363234017,0.9960632106896911,0.11209666534456648,0.9780458860759493
