epoch,train_loss,train_acc,val_loss,val_acc
1,0.6932358716342495,0.49837308988642337,0.6931418633159203,0.5017800632911392
2,0.6931791426276347,0.4993503464818763,0.6932297748855397,0.49653876582278483
3,0.6931815312615336,0.4973958333545148,0.6931460944912101,0.5055379746835443
4,0.6931871564657703,0.49924484721378987,0.6932105723815628,0.49505537974683544
5,0.6931741116906026,0.5008384416987901,0.6932270828681656,0.4927808544303797
6,0.6931196719344491,0.5045475746268657,0.6932603633856471,0.49683544303797467
7,0.6931620179208865,0.5021988272921108,0.6932843795305565,0.495253164556962
8,0.6931279933274682,0.5038090796231716,0.6932037759430801,0.5002966772151899
9,0.6931499563046356,0.5041144722814499,0.6931624163555193,0.5007911392405063
10,0.6931791883796009,0.49967794955920564,0.6931529731690129,0.49831882911392406
11,0.6931783323094789,0.4973736229990083,0.6931461095809937,0.5018789556962026
12,0.69317711632389,0.4986618248257301,0.6931433821026283,0.501681170886076
13,0.6931366591311213,0.5033426616491794,0.6932208628594121,0.49535205696202533
14,0.6931685894282896,0.4998778429493975,0.6931492769265477,0.49960443037974683
15,0.6931787856352101,0.49814543356773444,0.6932232689253891,0.4991099683544304
16,0.6931549268744902,0.5013104122457728,0.6931408379651323,0.5076147151898734
17,0.693153177751407,0.5027152185501066,0.6931999167309532,0.4982199367088608
18,0.693193173866028,0.4984397210800317,0.6931035118766978,0.5056368670886076
19,0.69317439141304,0.4998833955223881,0.6931383587137053,0.5039556962025317
20,0.693149185511095,0.5044420752952348,0.6930431542517264,0.510878164556962
