epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.151334904066541,0.03996089236302809,0.5189486308531328,0.004516084212809801,0.864299243146723,0.69
2,0.035590298677032645,0.024194105951623482,0.48871552402322943,0.002703971356492151,0.8907670432871039,0.6907142857142857
3,0.018581037054007703,0.012289333580569788,0.5162414529106834,0.0013784544902261007,0.9250000010837208,0.7035714285714286
4,0.012377874316139655,0.008897652383893728,0.5144469250332225,0.0010083700286817145,0.938541667027907,0.7042857142857143
5,0.008844674192368984,0.008901597508652643,0.5304061418229883,0.0010092891064811158,0.9350378784266385,0.7178571428571429
