epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,0.14597572176293894,0.047866416587070984,0.8701604767279192,0.005445028104904023,0.8498106056993658,0.6985714285714286,0.05,0.05000183999411202
2,0.03534950241446495,0.024051569910211998,0.8457003777677362,0.0026891073847020216,0.8829545432871039,0.6785714285714286,0.1,0.14500073599764482
3,0.018441027843139387,0.012532608837566593,0.9747493321245367,0.001413303046402606,0.9321022738109935,0.6992857142857143,0.15000000000000002,0.27325292559063813
4,0.011270589381456374,0.008828182069754059,0.8080507300116799,0.0009828220354393125,0.9435606056993658,0.7107142857142857,0.2,0.4186032604695665
5,0.007916149708696387,0.006273756100034172,0.8145029924132607,0.0007018641441721808,0.9501420476219871,0.7014285714285714,0.25,0.5639535953484949
6,0.005899424495344812,0.005940185478803786,0.7811088724569841,0.0006618610032918779,0.9529829567128961,0.6957142857142857,0.3,0.6947679767424744
7,0.004848908053033731,0.006225781176577915,0.7690298123793169,0.0007085851076143709,0.9486742398955605,0.6942857142857143,0.35,0.8015980348862883
8,0.007876707236705856,0.005340186413377523,0.7529431310566989,0.0006049411022104323,0.955066285350106,0.6964285714285714,0.39999999999999997,0.880956980937661
9,0.01908668697049672,0.005938208069313656,0.7651875777678057,0.0006594104607674209,0.9479166648604653,0.7107142857142857,0.44999999999999996,0.9345284095090896
10,0.026845057664269752,0.010249211791564117,0.5387306348844008,0.0011348099003291943,0.9377840919928118,0.7092857142857143,0.49999999999999994,0.9672619047619048
