epoch,train_loss,train_acc,val_loss,val_acc
1,0.693470845598656,0.5007440475766847,0.6930714211886442,0.5060324367088608
2,0.6932961583645867,0.49731809701492535,0.6930909617037713,0.5060324367088608
3,0.5418257456280784,0.6829246624446372,0.27733257054528104,0.9170292721518988
4,0.1716205981145027,0.9428860163892002,0.1044238305921796,0.9648931962025317
5,0.10158493367434819,0.9652074449606287,0.08392280651421487,0.9699367088607594
