epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.24446210590275852,0.1934117850932208,0.5446678264574571,0.02244382080706683,0.6185606067830866,0.6542857142857142
2,0.074992804906585,0.041275396943092346,0.508493653752587,0.004628657871349292,0.8580965887416493,0.675
3,0.03309583938257261,0.024193101139231163,0.4550531967119737,0.0026915709022432566,0.8920928023078225,0.6864285714285714
4,0.021529051051898437,0.017295973544771023,0.4480540779503909,0.0019401663448661566,0.9233901500701904,0.7178571428571429
5,0.013342364911328662,0.009270057801834562,0.422705894166773,0.0010402855854904788,0.933617423881184,0.7178571428571429
