epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.3606963255188682,0.1895940683104775,0.9688233624805104,0.01971570842645385,0.7937500043348833,0.7071428571428572
2,0.16410092982378874,0.11897683753208681,0.7302794022993608,0.012078657238320871,0.8572916713627902,0.755
3,0.09637641161680222,0.08079382506283847,0.6491906642913818,0.008075171319598501,0.8900568214329806,0.7578571428571429
4,0.06601394909349355,0.06615330109542067,0.6620595997030084,0.006513805128633976,0.9022253805940802,0.76
5,0.04797498644752936,0.051349898292259735,0.5194570205428384,0.005047921556979418,0.909232957796617,0.78
6,0.03616695092483,0.03305551477453925,0.4885276095433669,0.0033540511927144094,0.922821971503171,0.7864285714285715
7,0.028402076864784413,0.030385279350660065,0.4815773232416673,0.0029480676166713238,0.9328125065023248,0.7878571428571428
8,0.022444779121062974,0.022941991009495476,0.45453647591850976,0.002290800351395526,0.9380681839856234,0.7828571428571428
9,0.019439051842147653,0.019003046676516533,0.4688320783051578,0.001923148425041952,0.9392992474816062,0.7785714285714286
10,0.01791897446594455,0.021297017281705685,0.5082457038489255,0.002119285001588816,0.9422348520972512,0.7871428571428571
11,0.01592513441362164,0.016356509432873943,0.4673397866162387,0.0016448887234384363,0.9487215930765326,0.785
12,0.013137035969306122,0.022614613090726463,0.5038962310010736,0.0022170544728975406,0.939488638531078,0.79
13,0.012609817714176394,0.014177130281247875,0.48287718946283514,0.0014046477894722061,0.9508049271323464,0.79
14,0.01165905124084516,0.013214845887639305,0.46528134562752466,0.0013200966535474765,0.9516098553484137,0.7821428571428571
15,0.010458237406882372,0.013280157253823498,0.454741123047742,0.001323878045447848,0.95516099171205,0.7828571428571428
16,0.00948500529947606,0.015728809616782448,0.479115293784575,0.0015482407973401926,0.9501894008029591,0.7878571428571428
17,0.009447504478422079,0.01262511939487674,0.4763213179328225,0.001241910250180147,0.9593750021674416,0.7885714285714286
18,0.008734726050699299,0.01089502244510434,0.4778482046994296,0.0010680721501227129,0.963020839474418,0.7878571428571428
19,0.007778526681729339,0.013954061591489748,0.46299702470952814,0.0013689688745547426,0.9594223553484137,0.7828571428571428
20,0.007616748694669117,0.015539716929197311,0.48945864222266455,0.0015539856077256527,0.95516099171205,0.7942857142857143
21,0.007366269420493733,0.011414688419211994,0.4722707515413111,0.001102417940273881,0.958049248565327,0.7857142857142857
22,0.008138341820714148,0.016839543865485626,0.49742892384529114,0.0017019469417970288,0.9535984884608876,0.7828571428571428
23,0.008252086397260428,0.010406194593418728,0.45881698619235645,0.0010236317704601045,0.9616003849289634,0.7835714285714286
24,0.006736463122069836,0.010447965511544184,0.48004318096420984,0.0010426896677183156,0.9637310667471453,0.7871428571428571
25,0.005950881354510784,0.010961424136026339,0.4984294961799275,0.001059924215290018,0.9573390212925997,0.7821428571428571
26,0.005657044645737518,0.009764040650969202,0.4897131052884189,0.0009621774185110222,0.9616003849289634,0.7907142857142857
27,0.0056351853788576345,0.009304023982787674,0.49388013915582135,0.0009252295130863786,0.9608428098938682,0.7857142857142857
28,0.0051402626432139765,0.009649418971755287,0.5015256702899933,0.0009532730645415458,0.9608901576562361,0.7871428571428571
29,0.006472767948765647,0.009152653923427517,0.49919783256270667,0.000900857722048055,0.9643939462575045,0.7907142857142857
30,0.005278539285063744,0.010089830495417118,0.5021978670900519,0.0009802967225286093,0.9594223553484137,0.7885714285714286
31,0.005382130637934262,0.009592439132657919,0.4842297218062661,0.0009552165072157302,0.9616003849289634,0.785
32,0.004694017877971584,0.009522598744793371,0.4846979731863195,0.0009381569054147059,0.9623106122016907,0.7828571428571428
33,0.004239255664023486,0.008392345710572872,0.4906638887795535,0.0008321621465835382,0.9601325826211409,0.7907142857142857
34,0.004089252938601104,0.010098384693264961,0.4804001911119981,0.000999641779344529,0.9558238658038053,0.7935714285714286
35,0.003876713172278621,0.008665812328796495,0.4934288642623208,0.0008507521600801159,0.9643465930765326,0.7935714285714286
36,0.005340778594836592,0.009578951295803894,0.5106361372904344,0.0009515262526375326,0.9614583362232555,0.785
37,0.004460561080751094,0.009562571279027245,0.48032398928295483,0.0009710200988179581,0.9636363658038053,0.7914285714285715
38,0.00381125447509641,0.010138355322520842,0.49085520885207434,0.0010017911765978417,0.9585700793699785,0.7907142857142857
39,0.003896376270462166,0.012080340138213201,0.4892913672057065,0.0011772873165847902,0.9572916735302318,0.795
40,0.004072409597310153,0.009327508551491932,0.4843136966228485,0.0009025774197652936,0.9628787907687101,0.7864285714285715
41,0.004072409597310153,0.31736221638592804,1.5068741820075295,0.03137333995916627,0.8836174282160673,0.7571428571428571
