epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.21018780117685146,0.08112174543467435,1.2553546645424583,0.008746353105049242,0.8200284080071882,0.6242857142857143
2,0.04681510170075026,0.03437907147136601,0.8391686244444414,0.0038648911074481225,0.8648200739513744,0.6664285714285715
3,0.03453704792667519,0.02568372271277688,0.8138989806175232,0.0028807104946198788,0.8833333308046515,0.6864285714285714
4,0.023193458061326635,0.018938691016625275,0.6588013768196106,0.002129441931505095,0.8928503773429177,0.6657142857142857
5,0.014754596674306826,0.011199225586923685,0.6906448331746188,0.0012399133569984274,0.9342803033915433,0.7057142857142857
