epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.2475089585239237,0.20531191473657434,0.5543105033310977,0.023933504962108353,0.5677083351395347,0.495
2,0.08217266388237476,0.034956170923330566,0.4015944573012265,0.003913840363648805,0.8751893964680758,0.6907142857142857
3,0.029731046035885812,0.024720901962031017,0.5132600339976224,0.0027777857824482703,0.8929450782862577,0.7014285714285714
4,0.01749977460977706,0.011497848159210249,0.4018499959598888,0.00128948451443152,0.9242897738109935,0.7
5,0.010039393197406422,0.00765742344612425,0.466174759648063,0.0008598415720784528,0.9487215930765326,0.7028571428571428
