epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,0.20114327398213475,0.058161336589943276,2.7693733302029697,0.006458569826050239,0.8521306839856234,0.6807142857142857,0.05,0.05000183999411202
2,0.04057789685373957,0.028491846201094715,5.208530686118386,0.003180204679004171,0.8914299227974631,0.6757142857142857,0.1,0.14500073599764482
3,0.022948964600535957,0.021488827229900795,4.707993030548096,0.0024089693536304617,0.9122159101746299,0.7192857142857143,0.15000000000000002,0.27325292559063813
4,0.016482574154030195,0.013865045695142313,5.129432591524991,0.00155567231757397,0.9271306829019026,0.6957142857142857,0.2,0.4186032604695665
5,0.01332300351085988,0.01197543799538504,5.441445610739968,0.0013475220078941095,0.9220170432871039,0.6907142857142857,0.25,0.5639535953484949
6,0.0119515781883489,0.010035347532142292,5.410960934378884,0.001124553567602892,0.9377367442304437,0.7035714285714286,0.3,0.6947679767424744
7,0.010040468629449606,0.00938246509229595,5.3361099850047715,0.0010455158136954362,0.933617423881184,0.7164285714285714,0.35,0.8015980348862883
8,0.008475035479800268,0.007906806697560982,4.981942220167681,0.0008825597575527023,0.9393465898253701,0.7164285714285714,0.39999999999999997,0.880956980937661
9,0.02246764883060347,0.00787453484636816,4.2465480240908535,0.0008772302164950154,0.9292140169577165,0.6978571428571428,0.44999999999999996,0.9345284095090896
10,0.038030890087512405,0.012545039369301363,2.2229237014597114,0.0013995369028469379,0.9200757579369978,0.6971428571428572,0.49999999999999994,0.9672619047619048
