epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.22293979959054427,0.08832044899463654,0.3819370811635798,0.009865645234557715,0.7647727294401689,0.6478571428571429
2,0.04636341343549165,0.030603027479215103,0.23976807567206296,0.003436004171486605,0.8657670454545454,0.67
3,0.027341901815750382,0.02287000095979734,0.2736828042702241,0.0025541028537025504,0.896543562412262,0.6864285714285714
4,0.020023843916979703,0.01660401170903986,0.21790493618358264,0.001853202236816287,0.9063920432871039,0.685
5,0.012805549952794206,0.009765561373735016,0.22618357701735062,0.0010999886964617128,0.9294507557695563,0.7007142857142857
