epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,0.2466139387000691,0.2065202539617365,0.5823189074342902,0.02407082390378822,0.551657194441015,0.6528571428571428,0.05,0.05000183999411202
2,0.08570188995112073,0.048390541902997276,0.1732288490642201,0.005588641305538741,0.8651515137065541,0.6821428571428572,0.1,0.14500073599764482
3,0.043615354733033615,0.036641443825580856,0.14722535826943137,0.004234015243127942,0.9085700782862577,0.7085714285714285,0.15000000000000002,0.27325292559063813
4,0.035730178958990354,0.03145354749126868,0.13917199319059198,0.003638830099424178,0.9171401533213529,0.7114285714285714,0.2,0.4186032604695665
5,0.030813099071383476,0.027066321366212585,0.13575610992583362,0.003127392085099762,0.919933714649894,0.69,0.25,0.5639535953484949
6,0.027309842069040646,0.024049144238233566,0.13932279700582678,0.0027523010291836477,0.9343276511539113,0.72,0.3,0.6947679767424744
7,0.023745288259603762,0.021490981463681568,0.13484018770131198,0.002471212022514506,0.9250473488460887,0.7207142857142858,0.35,0.8015980348862883
8,0.020349697836420752,0.018556306477297436,0.13003010167316956,0.002113109189932319,0.9313920465382662,0.7114285714285714,0.39999999999999997,0.880956980937661
9,0.028056348775598136,0.016965533945370804,0.13753965497016907,0.0019273295554078438,0.9342803033915433,0.71,0.44999999999999996,0.9345284095090896
10,0.03299962116236037,0.01709269495172934,0.13273061202331024,0.001908356884748421,0.9227746237408031,0.6928571428571428,0.49999999999999994,0.9672619047619048
