epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.24798585962165487,0.2248393568125638,0.6621700958772139,0.02633913995867426,0.6546401489864696,0.6478571428571429
2,0.12372360500422391,0.03777264583517204,0.7449441877278414,0.004257753237404607,0.8563920476219871,0.6692857142857143
3,0.02905292221429673,0.02322814833711494,0.7204921787435358,0.0026284340472722597,0.8992424227974631,0.6978571428571428
4,0.01643582187931646,0.014375732618976723,0.5608688809654929,0.0016189981781115587,0.9200284101746299,0.7214285714285714
5,0.011261884436349977,0.008905830539085648,0.69391084801067,0.0010088190108283677,0.9351325739513744,0.7064285714285714
