epoch,train_loss,train_acc,val_loss,val_acc
1,0.572533253106204,0.688881714777513,0.5290225744247437,0.7349905317479913
2,0.4830440949309956,0.7557334715669806,0.5112712383270264,0.7280303023078225
3,0.4606627079573545,0.7689953511411494,0.47797242077914154,0.7650568160143766
4,0.43756677454168147,0.787784090909091,0.4950604194944555,0.7642992409792814
5,0.4235047307881442,0.7955707647583702,0.4618218080563979,0.7888257557695563
6,0.40739110166376286,0.8059917352416298,0.4581198285926472,0.7729166691953485
7,0.4015009468252009,0.8084452477368441,0.4710080921649933,0.765625
8,0.3887073413892226,0.8145790284330194,0.4753414582122456,0.7714015137065541
9,0.3631058687513525,0.8280087806961753,0.44224043867804785,0.7857481078668074
10,0.346547701142051,0.8334452477368441,0.4482606622305783,0.784185604615645
