epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc
1,0.20331733064218002,0.08140696720643477,0.3737886168740012,0.009276959960433569,0.824242423881184,0.6985714285714286
2,0.06445865990086035,0.05294124612754041,0.3140263801271265,0.006104448598555543,0.8729640137065541,0.6657142857142857
3,0.04731849164448001,0.04182636128230528,0.27094267308712006,0.004834487462754954,0.907196971503171,0.7142857142857143
4,0.0378374097360806,0.031761305406689644,0.2670246972279115,0.0036909082608128137,0.9207859852097251,0.7035714285714286
5,0.03172959106212313,0.026332921094515106,0.26244236528873444,0.003055689242583784,0.922916667027907,0.6942857142857143
