epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,0.4070328005335548,0.19354146041653372,0.9095970934087579,0.019532102075490086,0.8274147781458768,0.7364285714285714,0.0,0.0
2,0.16529242491180246,0.12782827426086774,0.9082377227869901,0.012908483093435114,0.8551136417822405,0.7485714285714286,0.0,0.0
3,0.11159658364274284,0.08630458942868492,1.0334052064202048,0.008616944774985313,0.8944128805940802,0.775,0.0,0.0
4,0.0785805574872277,0.06179482422091744,0.8660348003560846,0.006086674772880294,0.9001893997192383,0.7692857142857142,0.0,0.0
5,0.05631813962351192,0.04510934481566602,0.8120300119573419,0.004508833760734309,0.9086174260486256,0.7778571428571428,0.297,0.29699804960624127
6,0.040824673900550064,0.04736449840393933,0.824632238258015,0.004755986473438415,0.9099905328317122,0.7735714285714286,0.297,0.29699804960624127
7,0.037223324078050526,0.043305074626749214,0.7550860480828718,0.00442652107978409,0.9149147759784352,0.7814285714285715,0.297,0.29699804960624127
8,0.03074990270489996,0.02872086401012811,0.6791493621739474,0.0027900775894522667,0.9307765202088789,0.7728571428571429,0.297,0.29699804960624127
9,0.02456439757211642,0.02424200065433979,0.7121468023820356,0.00243014794647355,0.9327651533213529,0.7807142857142857,0.297,0.29699804960624127
10,0.020817184109579435,0.0262084056369283,0.6918474706736478,0.0026230393189259553,0.927840915593234,0.7828571428571428,0.594,0.5940006991977625
11,0.01973223958841779,0.019774808125062424,0.6732462373646823,0.0020118483596227384,0.9393465952439741,0.7857142857142857,0.594,0.5940006991977625
12,0.015224872021512553,0.018215577372095802,0.653051183982329,0.0018521090228618546,0.9435132633556019,0.7871428571428571,0.594,0.5940006991977625
13,0.015170079808343541,0.016858440400524574,0.606177191842686,0.0017029983097348702,0.9435606111179698,0.79,0.594,0.5940006991977625
14,0.014003826830197465,0.015749235468154602,0.6130764972079884,0.0016170687634836543,0.9456912929361517,0.7907142857142857,0.594,0.5940006991977625
15,0.062400555407459084,0.023250085894357075,1.0610768307339062,0.002345872947692194,0.9328598542646929,0.795,0.9,0.900000919997056
16,0.016770860942249947,0.019261858172037384,1.1582733501087537,0.0019228988623415883,0.9421401565725153,0.79,0.9,0.900000919997056
17,0.013372209210964766,0.01698152678595348,1.2058735435659236,0.001717582778920504,0.9500000043348833,0.7921428571428571,0.9,0.900000919997056
18,0.011456413092938336,0.015938057818196037,1.224828297441656,0.0016242229506712067,0.9464962157336149,0.7942857142857143,0.9,0.900000919997056
19,0.010869725962931459,0.014805705371228132,1.2172587459737605,0.0015171442329036918,0.9527935656634244,0.795,0.9,0.900000919997056
20,0.009906004504723983,0.014600104483013803,1.2291182713075117,0.0014923014466396787,0.9521306861530651,0.7971428571428572,0.9,0.900000919997056
21,0.009495663922280073,0.014431319284168157,1.1693417267365889,0.001490777972238985,0.9542613679712469,0.7978571428571428,0.9,0.900000919997056
22,0.008789455687457865,0.014130684462460604,1.18752014095133,0.0014310294698754494,0.9528882611881603,0.7978571428571428,0.9,0.900000919997056
23,0.008600922724740072,0.013276276517320763,1.1901397596706043,0.0013654047877273777,0.9535511406985197,0.7942857142857143,0.9,0.900000919997056
24,0.00798310764472593,0.01405867612497373,1.241446245800365,0.001425737081180242,0.9543087157336149,0.7978571428571428,0.9,0.900000919997056
25,0.007666618004441262,0.013151484964923426,1.2235693769021467,0.0013545409839769657,0.9556818225167014,0.7992857142857143,0.9,0.900000919997056
26,0.0074331375600939446,0.012113408524204384,1.1846952113238247,0.0012408262065781112,0.9578598520972512,0.8028571428571428,0.9,0.900000919997056
27,0.00807113182646307,0.01212463341653347,1.1200164448131213,0.0012304030612788417,0.957102277062156,0.8035714285714286,0.9,0.900000919997056
28,0.007003346246413209,0.011964437128467993,1.174498438835144,0.0012158990985798564,0.9557291702790693,0.7992857142857143,0.9,0.900000919997056
29,0.006915940344333649,0.012643650343472307,1.1722840612584895,0.0012926284901120446,0.9549715952439741,0.7928571428571428,0.9,0.900000919997056
30,0.006550451198762113,0.012083942578597502,1.159293153069236,0.001223297239365903,0.9542613679712469,0.7921428571428571,0.9,0.900000919997056
31,0.006376289169896732,0.01264209012416276,1.1748746741901746,0.0012821551433510401,0.9542613679712469,0.795,0.9,0.900000919997056
32,0.006160201564092528,0.011425653472542763,1.164991487156261,0.0011687063696709547,0.9585227316076105,0.7964285714285714,0.9,0.900000919997056
33,0.006079615305431865,0.010928458026186987,1.1377499807964673,0.0011131042424081402,0.9585700793699785,0.7935714285714286,0.9,0.900000919997056
34,0.0057295132513073355,0.011221104047515175,1.1929956728761846,0.0011523268555968323,0.9592329588803378,0.7985714285714286,0.9,0.900000919997056
35,0.006215571044859561,0.010351756756955927,1.141933804208582,0.0010629626922309399,0.9592803066427057,0.7942857142857143,0.9,0.900000919997056
36,0.005366669425910169,0.01047792857174169,1.1796617941422896,0.001074466748501767,0.9592803066427057,0.7942857142857143,0.9,0.900000919997056
37,0.005324543132023378,0.012435861101204699,1.2142567201094194,0.0012835734259252522,0.9572443203492598,0.795,0.9,0.900000919997056
38,0.005955467982725664,0.01057951973581856,1.1566572026772932,0.0010785233091816983,0.9607007611881603,0.7957142857142857,0.9,0.900000919997056
39,0.0049742191479626024,0.01028507583859292,1.1468737342140891,0.0010480690557001667,0.959990533915433,0.795,0.9,0.900000919997056
40,0.004786442444575103,0.009931322187185287,1.1709802800958806,0.0010111153189262206,0.9621685634959828,0.7971428571428572,0.9,0.900000919997056
