epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,2.3489768301754363,2.3459833966025823,31.61833652061752,0.22154117649114585,0.5039556962025317,0.5047,0.05,0.049999078782518976
2,2.3486167835528406,2.3460395305971558,31.62627932391589,0.2215481907883777,0.5039556962025317,0.5047,0.1,0.1449996315130076
3,2.3484986382506805,2.3461698037159593,31.63462682313557,0.2215644802096524,0.5039556962025317,0.5047,0.15000000000000002,0.2732515292210185
4,2.3485100625166253,2.3461476851113234,31.63348820843274,0.22156171745891812,0.5039556962025317,0.5047,0.2,0.4186012233768148
5,2.3485157708369337,2.346061404747299,31.628068730800965,0.22155093071581441,0.5039556962025317,0.5047,0.25,0.5639509175326111
6,2.348590424828438,2.346026094653938,31.62500248679632,0.22154651374756534,0.5039556962025317,0.5047,0.3,0.6947637998378657
7,2.3485803848136464,2.3459824067127855,31.617972699901724,0.22154105332078813,0.5039556962025317,0.5047,0.35,0.8015973911120937
8,2.3485447399651824,2.3460881740232056,31.62987187542493,0.22155427895014798,0.5039556962025317,0.5047,0.39999999999999997,0.8809602771022182
9,2.348465137644363,2.346155269236504,31.633815620518938,0.22156265076202683,0.5039556962025317,0.5047,0.44999999999999996,0.9345290736237011
10,2.34851459755318,2.346059068848815,31.627957162977776,0.22155062929738925,0.5039556962025317,0.5047,0.49999999999999994,0.9672645368118505
