epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,1.5278591255643474,0.5365084858634804,11.761097280285027,0.03927569310593454,0.9336431962025317,0.9322,0.05,0.049999078782518976
2,0.41843783486880726,0.2693128374558461,7.386398273178294,0.01844511062637726,0.9642009493670886,0.9586,0.1,0.1449996315130076
3,0.2628798462720568,0.2755294347865672,6.602493817293191,0.019006754790397384,0.9620253164556962,0.9576,0.15000000000000002,0.2732515292210185
4,0.19880627252971694,0.17423274339754372,5.530179597154448,0.01129931457269984,0.9737935126582279,0.9679,0.2,0.4186012233768148
5,0.1658243750617194,0.1449510151449638,4.739904925793032,0.009317195225695643,0.9770569620253164,0.971,0.25,0.5639509175326111
6,0.14376072971614948,0.16647200682495214,4.877751649180545,0.010958701000796467,0.973496835443038,0.9672,0.3,0.6947637998378657
7,0.12945141647257277,0.1311458074782468,4.273400765431078,0.008465996775422481,0.9771558544303798,0.9713,0.35,0.8015973911120937
8,0.11422704434248684,0.12004468528718888,4.350461431696445,0.007701140317087404,0.9790348101265823,0.9738,0.39999999999999997,0.8809602771022182
9,0.1390526069125641,0.1222938457150248,4.934295397770556,0.007689645762932545,0.9794303797468354,0.9736,0.44999999999999996,0.9345290736237011
10,0.254311740080685,0.16053748941874202,6.694969768765606,0.01047926004445534,0.9750791139240507,0.9686,0.49999999999999994,0.9672645368118505
